codepoint,char,count,name_hint
U+B09C,난,85,
U+CE21,측,85,
U+C124,설,85,
U+D669,황,84,
U+C290,슐,83,
U+C190,손,83,
U+D54D,핍,83,
U+D639,혹,81,
U+300D,」,79,
U+C624,오,79,
U+BCA0,베,79,
U+300C,「,78,
U+D45C,표,76,
U+AD6D,국,74,
U+B178,노,73,
U+AC83,것,73,
U+BB34,무,72,
U+CEA1,캡,72,
U+CDE8,취,72,
U+AD11,광,72,
U+CCAB,첫,71,
U+D50C,플,69,
U+BC88,번,68,
U+CD95,축,68,
U+D69F,횟,68,
U+C11D,석,67,
U+B78C,람,66,
U+C878,졸,65,
U+AE00,글,65,
U+C644,완,63,
U+D575,핵,63,
U+B834,렴,62,
U+B9BC,림,61,
U+B514,디,61,
U+BA54,메,60,
U+AD8C,권,59,
U+CE74,카,59,
U+AD34,괴,57,
U+BC15,박,57,
U+B2EC,달,56,
U+C721,육,55,
U+ACE4,곤,54,
U+B18D,농,53,
U+ADF9,극,52,
U+B0A8,남,51,
U+D1F4,퇴,51,
U+C1C4,쇄,50,
U+D0D5,탕,50,
U+D5E4,헤,47,
U+B840,례,45,
U+C5D4,엔,45,
U+B9BD,립,43,
U+B354,더,43,
U+D074,클,42,
U+BCF8,본,42,
U+C728,율,42,
U+2460,①,42,
U+B984,름,40,
U+BE0C,브,39,
U+B9DD,망,39,
U+AD81,궁,38,
U+B2CC,닌,37,
U+2461,②,37,
U+CC44,채,37,
U+B428,됨,36,
U+C529,씩,36,
U+D2F4,틴,36,
U+C9D1,집,36,
U+CC3D,창,36,
U+B192,높,35,
U+D611,협,35,
U+D39C,펜,35,
U+AE34,긴,35,
U+B4E4,들,34,
U+B9C1,링,34,
U+AC1D,객,33,
U+B204,누,33,
U+CE7C,칼,32,
U+CDCC,췌,32,
U+C0BC,삼,31,
U+D0C8,탈,31,
U+D540,핀,30,
U+C140,셀,30,
U+B0A0,날,30,
U+D734,휴,30,
U+AC78,걸,30,
U+BA38,머,30,
U+D0A8,킨,29,
U+CF5C,콜,29,
U+C219,숙,29,
U+D749,흉,29,
U+C811,접,29,
U+C12C,섬,28,
U+D0A4,키,28,
U+CCA0,철,28,
U+D64D,홍,28,
U+B77D,락,28,
U+C2B5,습,27,
U+C2ED,십,27,
U+B290,느,27,
U+AC11,갑,27,
U+C5C8,었,26,
U+C695,욕,26,
U+B7FD,럽,25,
U+CC29,착,25,
U+C88C,좌,25,
U+CC30,찰,25,
U+CE20,츠,25,
U+BABB,못,25,
U+C9D5,징,24,
U+2264,≤,23,
U+C6C0,움,23,
U+CF00,케,23,
U+B274,뉴,23,
U+C0B4,살,23,
U+D63C,혼,23,
U+D5EC,헬,22,
U+C2A8,슨,22,
U+C988,즈,22,
U+C7A0,잠,22,
U+AE38,길,21,
U+D5A5,향,21,
U+AC08,갈,21,
U+B2F5,답,21,
U+B3CC,돌,20,
U+B0AE,낮,20,
U+B864,롤,20,
U+D48D,풍,20,
U+C13C,센,20,
U+2462,③,19,
U+2463,④,19,
U+C0C8,새,19,
U+B124,네,19,
U+AED8,께,18,
U+B108,너,18,
U+B420,될,18,
U+D0DD,택,18,
U+D0C1,탁,18,
U+B179,녹,18,
U+B80C,렌,18,
U+C068,쁨,18,
U+C2B4,슴,18,
U+C298,슘,17,
U+CE35,층,17,
U+D0AC,킬,17,
U+C628,온,17,
U+D478,푸,17,
U+C2AC,슬,17,
U+CF58,콘,17,
U+C838,져,17,
U+CD09,촉,17,
U+B86C,롬,17,
U+ADDC,규,16,
U+BC84,버,16,
U+B358,던,15,
U+2464,⑤,15,
U+CE85,캅,15,
U+C5D8,엘,15,
U+D15C,템,15,
U+D37C,퍼,15,
U+C0BD,삽,14,
U+CD2C,촬,14,
U+BAB8,몸,14,
U+BBC0,므,14,
U+BE60,빠,14,
U+B370,데,14,
U+B809,렉,14,
U+BE4C,빌,14,
U+CCD0,쳐,14,
U+D33D,팽,14,
U+B0C9,냉,14,
U+B2EB,닫,14,
U+D588,했,13,
U+B4E0,든,13,
U+D150,텐,13,
U+C7A1,잡,13,
U+C62C,올,13,
U+B208,눈,13,
U+B0AD,낭,13,
U+C558,았,12,
U+C989,즉,12,
U+00B0,°,12,
U+AC90,겐,11,
U+B291,늑,11,
U+B180,놀,11,
U+B4DD,득,11,
U+3002,。,11,
U+D31C,팜,11,
U+C5BC,얼,11,
U+C12D,섭,11,
U+ADC0,귀,10,
U+2468,⑨,10,
U+C798,잘,10,
U+C5D1,엑,10,
U+C81D,젝,10,
U+AD74,굴,10,
U+D1A1,톡,10,
U+C0B6,삶,10,
U+B540,땀,10,
U+C88B,좋,9,
U+B968,륨,9,
U+2192,→,9,
U+C528,씨,9,
U+C4F0,쓰,9,
U+D3F4,폴,9,
U+D1A4,톤,9,
U+D765,흥,9,
U+B8B0,뢰,9,
U+BCA4,벤,9,
U+B371,덱,9,
U+C794,잔,9,
U+B960,률,9,
U+D0C4,탄,8,
U+D050,큐,8,
U+CC45,책,8,
U+00B2,²,8,
U+C5FD,엽,8,
U+CE78,칸,8,
U+D2F8,틸,8,
U+C655,왕,8,
U+D305,팅,8,
U+C775,익,8,
U+D154,텔,8,
U+C570,앰,8,
U+BBA4,뮤,8,
U+D314,팔,8,
U+C735,융,8,
U+C8FD,죽,8,
U+B125,넥,8,
U+B810,렐,8,
U+D754,흔,8,
U+304F,く,7,
U+BD09,봉,7,
U+AC31,갱,7,
U+B818,렘,7,
U+D0D0,탐,7,
U+B518,딘,7,
U+B9AD,릭,7,
U+D14D,텍,7,
U+B2D0,닐,7,
U+D38C,펌,7,
U+CEE4,커,7,
U+2300,⌀,7,
U+D5D0,헐,7,
U+C0D8,샘,7,
U+D038,퀸,7,
U+D508,픈,7,
U+2465,⑥,6,
U+C368,써,6,
U+BD99,붙,6,
U+C8C4,죄,6,
U+B4C0,듀,6,
U+C149,셉,6,
U+C824,젤,6,
U+BE45,빅,6,
U+D070,큰,6,
U+B79C,랜,6,
U+C26C,쉬,6,
U+B099,낙,6,
U+C2F1,싱,6,
U+D798,힘,6,
U+C9D0,짐,6,
U+C194,솔,6,
U+D790,힐,6,
U+D3F0,폰,6,
U+00B5,µ,6,
U+2013,–,6,
U+C6CC,워,6,
U+AE68,깨,6,
U+C228,숨,6,
U+BCBD,벽,5,
U+D61C,혜,5,
U+D4E8,퓨,5,
U+D0D1,탑,5,
U+C789,잉,5,
U+B538,딸,5,
U+AFB9,꾹,5,
U+BE10,븐,5,
U+C96C,쥬,5,
U+B2E5,닥,5,
U+B155,녕,5,
U+BCFC,볼,5,
U+BCA8,벨,5,
U+C2F8,싸,5,
U+B378,델,5,
U+D6FC,훼,5,
U+D034,퀴,5,
U+BA48,멈,5,
U+B9CE,많,5,
U+C606,옆,5,
U+D0B4,킴,4,
U+B110,널,4,
U+CF64,콤,4,
U+03B1,α,4,
U+D5CC,헌,4,
U+2466,⑦,4,
U+2467,⑧,4,
U+B784,랄,4,
U+B9B4,릴,4,
U+C384,쎄,4,
U+D2F1,틱,4,
U+D329,팩,4,
U+CFE0,쿠,4,
U+AC94,겔,4,
U+BE5B,빛,4,
U+C820,젠,4,
U+BA40,멀,4,
U+ADE4,귤,4,
U+B17C,논,4,
U+CF67,콧,4,
U+B458,둘,4,
U+C5E0,엠,4,
U+D750,흐,4,
U+CFE8,쿨,4,
U+AC16,갖,4,
U+CD98,춘,4,
U+B118,넘,4,
U+B05D,끝,4,
U+C70C,윌,4,
U+C625,옥,4,
U+B791,랑,4,
U+00D7,×,4,
U+2076,⁶,4,
U+CE75,칵,4,
U+CCC7,쳇,4,
U+CE94,캔,4,
U+B819,렙,4,
U+ACE1,곡,4,
U+D799,힙,4,
U+D76C,희,4,
U+D5DB,헛,4,
U+BC11,밑,4,
U+B7F0,런,3,
U+CABD,쪽,3,
U+D68D,획,3,
U+B7ED,럭,3,
U+B284,늄,3,
U+BCB3,벳,3,
